나이,성별,결혼,종교,학위,부서,이직계획유무,건강상태,근무지역,공감_tot,공감_com,공감_sen,공감_ins,이직여부,이직퇴직여부,임상경력일,병동경력일,최종임상경력일,최종병동경력일_참고만,최종임상경력월,최종임상경력월_소수점반올림,최종임상경력년,년차_2
27,2,2,5,2,1,1,3,2,3.941176471,4,4.2,3.5,0,0,1155,1155,1155,1155,38.5,39,4,3
24,2,2,5,1,2,1,3,3,3.470588235,3.625,3.8,2.75,1,1,910,395,729,214,24.3,24,2,2
30,2,2,1,1,2,2,3,1,4.058823529,4,4,4.25,0,0,3070,3070,3070,3070,102.3333333,102,9,4
42,2,1,1,2,2,2,1,1,3.352941176,3.5,3.6,2.75,0,0,4045,2460,4045,2460,134.8333333,135,12,4
34,2,1,2,1,1,1,3,1,3.529411765,3.125,4.2,3.5,0,0,4345,485,4345,485,144.8333333,145,13,4
26,2,2,5,2,1,2,2,1,4.058823529,4,4.4,3.75,0,0,910,910,910,910,30.33333333,30,3,2
35,2,1,5,1,2,2,3,1,3.352941176,3.25,3.4,3.5,0,0,3710,3710,3710,3710,123.6666667,124,11,4
26,2,2,5,2,1,2,3,1,3.823529412,3.75,3.8,4,0,0,455,455,455,455,15.16666667,15,2,2
28,2,2,5,2,1,2,2,1,3.764705882,3.625,3.8,4,0,0,3980,2950,3980,2950,132.6666667,133,12,4
26,2,2,1,1,2,2,2,1,3.941176471,3.875,4.2,3.75,0,0,2520,1640,2520,1640,84,84,7,4
29,2,1,1,2,1,1,3,5,3.352941176,3,4.2,3,0,0,2765,1855,2765,1855,92.16666667,92,8,4
28,2,1,2,2,2,2,3,1,3.705882353,3.5,4,3.75,1,1,2220,395,2114,289,70.46666667,70,7,3
28,2,2,1,1,1,2,2,5,3.352941176,3.25,3.8,3,0,0,300,300,300,300,10,10,1,1
31,2,1,5,2,2,1,3,1,3.470588235,3.125,4.2,3.25,0,0,2220,1490,2220,1490,74,74,7,4
25,2,2,1,2,1,1,1,1,3.705882353,3.75,3.8,3.5,0,0,395,395,395,395,13.16666667,13,2,2
29,2,2,1,1,2,1,4,1,3.588235294,3.625,3.6,3.5,0,0,1855,1095,1855,1095,61.83333333,62,7,3
26,2,2,5,2,1,1,3,1,3.705882353,3.875,3.6,3.5,0,0,1245,790,1245,790,41.5,42,4,3
28,2,1,1,2,2,2,2,5,3.764705882,3.5,4,4,0,0,3250,1245,3250,1245,108.3333333,108,9,4
29,2,1,3,2,1,1,2,1,3.588235294,3,4.6,3.5,1,1,2065,665,1352,-48,45.06666667,45,4,3
25,2,2,5,2,2,1,3,1,4.058823529,4.125,4.4,3.5,0,0,150,90,150,90,5,5,1,1
30,2,2,5,2,2,2,2,1,3.764705882,4.25,3.4,3.25,0,0,3070,3070,3070,3070,102.3333333,102,9,4
39,2,1,2,2,1,1,3,4,4,4.125,4,3.75,0,0,3315,2220,3315,2220,110.5,111,10,4
24,2,2,5,2,2,1,3,1,4.176470588,4.125,4,4.5,0,0,60,60,60,60,2,2,1,1
27,2,2,5,2,2,1,2,1,3.647058824,3.375,4,3.75,1,1,2585,545,1944,-96,64.8,65,7,3
32,2,1,2,1,2,1,3,1,3.882352941,3.625,4.4,3.75,0,0,1275,150,1275,150,42.5,43,4,3
26,2,1,5,1,2,2,2,2,3.647058824,3.75,3.6,3.5,0,0,1825,1095,1825,1095,60.83333333,61,7,3
23,2,2,1,2,2,2,3,1,3.294117647,4.125,2.4,2.75,0,0,150,30,150,30,5,5,1,1
30,2,2,1,1,2,2,4,1,3.705882353,3.75,3.8,3.5,0,0,2490,425,2490,425,83,83,7,4
50,2,1,5,1,1,1,2,1,3.058823529,3.25,2.8,3,0,0,3010,1580,3010,1580,100.3333333,100,9,4
24,2,2,5,2,2,1,2,1,3.470588235,3.75,3.6,2.75,0,0,1550,1395,1550,1395,51.66666667,52,6,3
25,2,2,2,2,1,1,3,1,3.176470588,3.25,3.4,2.75,0,0,365,180,365,180,12.16666667,12,1,1
27,2,2,5,2,1,1,2,1,3.470588235,3.625,3.4,3.25,1,1,2615,1215,1875,475,62.5,63,7,3
27,2,2,5,2,1,2,2,1,3.588235294,3.75,3.6,3.25,0,0,2585,1490,2585,1490,86.16666667,86,8,4
26,2,2,5,2,1,1,2,1,3.529411765,3.625,3.6,3.25,1,1,1125,485,530,-110,17.66666667,18,2,2
25,2,2,5,2,2,1,2,1,4,3.875,4,4.25,0,0,30,30,30,30,1,1,1,1
25,2,2,1,2,2,1,2,1,3.294117647,3.75,2.6,3.25,0,0,180,180,180,180,6,6,1,1
40,2,2,2,2,1,1,3,1,4,4.5,3.6,3.5,1,1,4045,665,3698,318,123.2666667,123,11,4
26,2,2,5,1,1,1,3,5,3.411764706,3.375,3.4,3.5,0,0,1885,60,1885,60,62.83333333,63,7,3
23,2,2,1,2,1,1,2,1,3.588235294,3.5,4,3.25,0,0,330,330,330,330,11,11,1,1
43,2,1,1,1,1,2,2,2,4,4,4.4,3.5,0,0,4045,1490,4045,1490,134.8333333,135,12,4
28,2,2,5,1,2,2,2,1,3.647058824,3.625,4,3.25,0,0,970,850,970,850,32.33333333,32,3,2
31,2,2,5,1,1,1,2,1,3.647058824,3.625,4,3.25,0,0,2980,2370,2980,2370,99.33333333,99,9,4
26,2,2,1,2,2,1,2,1,3.588235294,3.5,3.4,4,1,1,1335,790,1006,461,33.53333333,34,3,2
32,2,1,1,2,1,2,2,1,3.647058824,3.625,3.8,3.5,0,0,2615,60,2615,60,87.16666667,87,8,4
31,2,1,5,2,1,2,2,1,4.117647059,4.125,4.4,3.75,0,0,1825,365,1825,365,60.83333333,61,7,3
25,2,2,5,2,2,1,3,3,3,3.125,2.8,3,0,0,1790,1490,1790,1490,59.66666667,60,6,3
33,2,1,2,2,1,1,2,3,3.705882353,3.875,3.8,3.25,0,0,1825,365,1825,365,60.83333333,61,7,3
28,2,2,5,1,1,1,4,1,3.764705882,3.875,3.4,4,0,0,730,730,730,730,24.33333333,24,2,2
30,2,2,5,2,1,1,3,1,4.294117647,4.25,4.6,4,1,1,3435,1640,2718,923,90.6,91,8,4
27,2,2,5,2,2,2,2,1,3.117647059,3,3.4,3,1,1,1425,790,913,278,30.43333333,30,3,2
28,1,2,1,2,1,1,3,1,2.705882353,2.875,3.2,1.75,0,0,790,790,790,790,26.33333333,26,3,2
50,2,1,1,1,1,2,3,1,4.470588235,4.625,4.4,4.25,1,1,4075,515,3937,377,131.2333333,131,11,4
25,2,2,5,2,2,1,2,1,3.647058824,3.5,4.2,3.25,0,0,300,300,300,300,10,10,1,1
28,2,2,1,2,2,2,2,1,3.764705882,3.625,4,3.75,0,0,2855,120,2855,120,95.16666667,95,8,4
26,2,2,5,1,2,2,2,1,3.588235294,3.625,3.6,3.5,0,0,1460,575,1460,575,48.66666667,49,6,3
28,2,2,2,2,1,1,2,5,3.529411765,3.875,3.4,3,1,1,2250,395,1535,-320,51.16666667,51,6,3
27,2,1,5,2,1,1,2,3,3,3,3,3,0,0,2950,395,2950,395,98.33333333,98,9,4
26,2,2,5,2,2,2,2,1,3.470588235,3.875,3.4,2.75,0,0,1975,1550,1975,1550,65.83333333,66,7,3
34,2,1,5,1,2,1,3,4,4.176470588,4.25,4.2,4,1,1,3250,485,2851,86,95.03333333,95,8,4
34,2,2,3,2,1,2,2,1,3.764705882,3.5,4.2,3.75,1,1,4345,605,4115,375,137.1666667,137,12,4
27,2,2,5,2,1,1,2,1,4,4,4,4,0,0,1825,30,1825,30,60.83333333,61,7,3
28,2,2,5,2,1,1,2,1,3.705882353,3.5,4,3.75,0,0,2795,1490,2795,1490,93.16666667,93,8,4
27,2,2,5,2,1,2,2,1,3.823529412,3.75,4,3.75,0,0,1460,730,1460,730,48.66666667,49,6,3
30,2,2,2,2,1,1,2,1,3.352941176,3.125,4,3,0,0,1520,1520,1520,1520,50.66666667,51,6,3
30,2,1,2,1,2,1,2,1,4.294117647,4.375,4.6,3.75,0,0,2250,790,2250,790,75,75,7,4
24,2,2,5,2,2,2,2,3,3.588235294,3.375,4,3.5,0,0,1095,210,1095,210,36.5,37,4,3
32,2,1,5,2,2,1,3,1,3.117647059,2.5,4.2,3,0,0,1610,455,1610,455,53.66666667,54,6,3
32,1,1,2,1,2,2,2,4,3.823529412,3.625,4,4,0,0,2950,1520,2950,1520,98.33333333,98,9,4
32,2,1,5,2,1,1,2,5,3.529411765,3.125,4.2,3.5,0,0,1640,1640,1640,1640,54.66666667,55,6,3
27,2,2,5,1,1,1,3,1,4.058823529,4.25,3.8,4,0,0,1790,1790,1790,1790,59.66666667,60,6,3
28,1,2,5,2,1,2,2,2,3.705882353,3.625,3.8,3.75,0,0,365,180,365,180,12.16666667,12,1,1
28,2,1,1,1,1,2,2,1,3.176470588,3.5,2.8,3,0,0,2125,1215,2125,1215,70.83333333,71,7,3
28,2,2,2,1,1,1,3,5,3.529411765,2.875,4.4,3.75,0,0,1550,240,1550,240,51.66666667,52,6,3
34,2,1,5,1,2,1,3,1,3.176470588,2.75,3.8,3.25,0,0,2795,425,2795,425,93.16666667,93,8,4
29,2,2,5,1,2,1,3,5,4.176470588,4.375,4,4,0,0,1155,1155,1155,1155,38.5,39,4,3
28,2,2,5,1,2,2,2,3,3.588235294,3.75,3.6,3.25,1,1,2765,2035,2505,1775,83.5,84,7,4
30,2,2,5,2,2,2,3,5,3.823529412,3.875,3.6,4,0,0,1915,240,1915,240,63.83333333,64,7,3
28,2,2,2,2,1,2,2,3,4,3.875,4.2,4,0,0,2370,1825,2370,1825,79,79,7,4
30,2,1,5,1,1,1,3,1,3.176470588,2.75,3.8,3.25,0,0,1275,1275,1275,1275,42.5,43,4,3
23,2,2,5,2,1,2,3,1,3.411764706,3.375,3.4,3.5,0,0,940,425,940,425,31.33333333,31,3,2
34,2,1,1,1,2,2,3,1,3.764705882,3.625,4.2,3.5,0,0,1460,120,1460,120,48.66666667,49,6,3
25,2,2,5,2,1,1,3,1,3.764705882,3.625,4,3.75,0,0,730,730,730,730,24.33333333,24,2,2
32,2,1,3,1,2,1,3,1,4.058823529,4.25,4,3.75,0,0,850,850,850,850,28.33333333,28,3,2
27,2,1,5,2,2,1,3,1,3.647058824,3.5,4,3.5,0,0,1580,1580,1580,1580,52.66666667,53,6,3
32,2,1,5,1,1,2,2,1,4.235294118,3.875,4.8,4.25,0,0,2490,1155,2490,1155,83,83,7,4
23,2,2,5,2,1,1,2,1,4.117647059,4,4.4,4,0,0,365,365,365,365,12.16666667,12,1,1
29,2,2,1,1,1,1,3,1,3.823529412,3.75,4.2,3.5,0,0,1825,545,1825,545,60.83333333,61,7,3
28,2,2,5,2,2,2,2,3,3.588235294,3.25,4,3.75,0,0,3220,1125,3220,1125,107.3333333,107,9,4
34,2,2,1,2,1,1,2,4,5,5,5,5,0,0,2920,2920,2920,2920,97.33333333,97,9,4
30,2,1,5,2,2,2,2,5,3.764705882,3.75,3.8,3.75,0,0,2920,1520,2920,1520,97.33333333,97,9,4
26,2,2,5,2,2,2,3,1,3.470588235,3.5,4,2.75,0,0,1790,30,1790,30,59.66666667,60,6,3
33,2,2,1,1,2,1,2,1,4.058823529,4,4.2,4,0,0,3100,1095,3100,1095,103.3333333,103,9,4
28,2,2,5,2,1,1,2,1,3.294117647,3.25,3.6,3,0,0,1885,970,1885,970,62.83333333,63,7,3
26,2,2,5,2,2,1,2,1,3.588235294,3.625,3.8,3.25,0,0,2765,1305,2765,1305,92.16666667,92,8,4
25,2,2,1,1,2,2,1,1,3.764705882,3.625,4,3.75,0,0,1155,395,1155,395,38.5,39,4,3
26,2,2,5,2,2,2,2,1,3.823529412,3.875,4,3.5,0,0,910,180,910,180,30.33333333,30,3,2
27,2,2,5,1,1,2,3,5,3.647058824,4.125,3.2,3.25,0,0,3615,1885,3615,1885,120.5,121,11,4
26,2,2,5,2,1,1,2,1,3.352941176,3.25,3.6,3.25,0,0,1030,850,1030,850,34.33333333,34,3,2
30,2,1,1,2,1,1,3,1,4.176470588,4.25,4.4,3.75,0,0,1000,1000,1000,1000,33.33333333,33,3,2
24,2,2,2,2,2,1,2,1,4.470588235,4.625,4.8,3.75,1,1,1490,910,896,316,29.86666667,30,3,2
26,2,2,5,1,1,1,2,5,3.058823529,3,3.4,2.75,0,0,1460,665,1460,665,48.66666667,49,6,3
27,2,2,5,2,1,2,3,1,3.705882353,3.875,4,3,0,0,2980,1520,2980,1520,99.33333333,99,9,4
40,2,1,5,1,1,2,3,1,3.882352941,3.875,4.2,3.5,0,0,3650,2920,3650,2920,121.6666667,122,11,4
27,2,2,5,2,1,1,2,3,3.588235294,3.625,3.6,3.5,0,0,850,545,850,545,28.33333333,28,3,2
31,2,2,5,2,2,2,2,1,3.764705882,3.875,3.8,3.5,0,0,2190,150,2190,150,73,73,7,4
26,2,2,5,1,1,1,2,1,3.352941176,3.125,3.6,3.5,0,0,1855,1125,1855,1125,61.83333333,62,7,3
29,2,2,5,2,2,2,2,1,3.588235294,3.625,3.6,3.5,0,0,2735,2735,2735,2735,91.16666667,91,8,4
23,2,2,5,2,1,1,3,4,4.176470588,4,4.2,4.5,1,1,1395,760,955,320,31.83333333,32,3,2
26,2,2,5,2,1,2,2,1,3.941176471,4,4,3.75,0,0,1975,790,1975,790,65.83333333,66,7,3
26,2,1,2,2,2,1,1,1,3.705882353,3.75,4,3.25,0,0,1610,455,1610,455,53.66666667,54,6,3
30,2,2,2,2,2,1,2,1,3.470588235,3.75,3,3.5,1,1,2220,605,1904,289,63.46666667,63,7,3
28,2,1,1,1,1,2,1,1,2.705882353,2.125,3.4,3,0,0,2190,2190,2190,2190,73,73,7,4
28,2,2,5,2,1,1,2,1,4.176470588,4.125,4.4,4,0,0,2585,1335,2585,1335,86.16666667,86,8,4
33,2,1,5,2,1,2,2,1,3.941176471,3.875,4.4,3.5,0,0,1915,970,1915,970,63.83333333,64,7,3
24,2,2,1,2,2,1,3,1,4,4,4,4,0,0,1760,760,1760,760,58.66666667,59,6,3
29,2,2,1,2,1,1,2,1,4.176470588,4.25,4.4,3.75,1,1,1885,760,1431,306,47.7,48,4,3
25,2,2,1,1,2,2,2,1,3.588235294,3.875,3.6,3,0,0,2585,2585,2585,2585,86.16666667,86,8,4
27,2,2,5,2,2,2,4,1,3.882352941,4.125,4,3.25,0,0,1305,240,1305,240,43.5,44,4,3
32,2,2,1,1,1,1,2,1,4,3.5,4.4,4.5,0,0,850,365,850,365,28.33333333,28,3,2
26,2,2,5,2,2,2,2,1,3.529411765,3.875,3.4,3,0,0,4045,760,4045,760,134.8333333,135,12,4
38,2,1,5,1,1,2,2,1,3.352941176,3.5,3.2,3.25,0,0,2555,2555,2555,2555,85.16666667,85,8,4
29,2,2,1,2,1,1,3,1,3.058823529,3,3.2,3,0,0,1155,1155,1155,1155,38.5,39,4,3
33,2,2,1,2,2,2,3,1,3.294117647,2.875,4,3.25,0,0,1550,90,1550,90,51.66666667,52,6,3
27,2,2,2,1,1,2,2,1,3.411764706,3.25,3.8,3.25,0,0,1825,1060,1825,1060,60.83333333,61,7,3
31,2,1,5,2,2,2,2,1,3.176470588,2.625,4.4,2.75,0,0,4345,4345,4345,4345,144.8333333,145,13,4
25,2,2,5,2,1,2,2,1,4.235294118,4.625,4,3.75,0,0,1335,1335,1335,1335,44.5,45,4,3
32,2,2,1,2,1,2,1,4,4,4,4,4,0,0,1945,1125,1945,1125,64.83333333,65,7,3
