나이,성별,결혼,종교,학위,부서,이직계획유무,건강상태,근무지역,공감_tot,공감_com,공감_sen,공감_ins,이직여부,이직+퇴직여부,임상경력(일),병동경력(일),최종임상경력(일),최종병동경력(일)_참고만,최종임상경력(월),최종임상경력(월)_소수점 반올림,최종임상경력(년),년차_2
29,2,2,1,1,1,2,1,1,3.12,2.88,3.6,3,0,0,3220,1305,3220,1305,107,107,9,4
30,2,2,5,1,2,2,3,1,3.88,3.5,4,4.5,1,1,3680,395,3557,272,119,119,10,4
28,2,2,5,2,1,1,2,1,3.41,3.38,3.6,3.25,1,1,1760,485,1570,295,52,52,6,3
39,2,1,5,1,1,1,4,4,3.71,3.63,4,3.5,0,0,2980,790,2980,790,99,99,9,4
25,2,2,5,1,2,1,3,1,4.12,4.13,4.2,4,0,0,2220,2155,2220,2155,74,74,7,4
25,2,2,5,1,2,2,2,1,3.59,3.63,3.6,3.5,0,0,2585,1730,2585,1730,86,86,8,4
30,2,1,5,2,2,1,2,5,3.88,4.13,4,3.25,1,1,2980,790,2226,36,74,74,7,4
30,2,1,1,2,2,2,2,1,3.71,3.88,3.8,3.25,0,0,3585,1855,3585,1855,120,120,10,4
31,2,2,2,2,2,2,2,1,3.76,3.63,4,3.75,0,0,3680,2125,3680,2125,123,123,11,4
28,1,1,5,1,1,2,2,5,4.12,4,4.4,4,0,0,2250,1855,2250,1855,75,75,7,4
28,2,2,1,2,1,2,2,1,3.82,4.25,3.4,3.5,0,0,2220,1855,2220,1855,74,74,7,4
26,2,2,5,2,1,1,3,1,4,4.25,4.2,3.25,0,0,2520,1790,2520,1790,84,84,7,4
46,2,2,2,1,2,1,3,1,3.76,3.63,4.2,3.5,1,1,2950,485,2782,317,93,93,8,4
25,2,2,1,2,1,1,3,1,3.82,3.75,3.6,4.25,1,1,2035,425,1553,-57,52,52,6,3
27,2,2,5,1,2,1,2,1,3.88,3.75,4.2,3.75,0,0,3010,1305,3010,1305,100,100,9,4
28,2,2,1,2,1,2,2,1,3.94,3.88,4.2,3.75,0,0,3040,1185,3040,1185,101,101,9,4
26,2,2,1,2,2,1,3,1,3.71,3.5,4.2,3.5,1,1,1245,575,986,316,33,33,3,2
30,1,2,1,1,2,1,2,5,3.59,3.75,3.6,3.25,1,1,1490,760,941,211,31,31,3,2
32,2,2,5,2,1,2,2,1,3.82,3.88,3.6,4,0,0,4045,1855,4045,1855,135,135,12,4
24,2,2,5,1,1,2,2,5,3.59,3.25,4,3.75,0,0,1700,1185,1700,1185,57,57,6,3
34,2,1,2,3,1,2,2,1,3,2.75,3.4,3,0,0,4045,2585,4045,2585,135,135,12,4
32,2,1,5,2,1,1,3,1,2.88,3.25,2.6,2.5,1,1,4045,635,3703,293,123,123,11,4
24,2,2,1,2,2,1,3,1,3.41,3.5,3.6,3,1,1,1155,395,1048,288,35,35,3,2
24,2,1,5,1,2,1,3,1,3.41,3.38,3.6,3.25,1,1,1580,695,846,-39,28,28,3,2
38,2,1,5,2,2,1,2,1,3.65,3.75,3.2,4,0,0,1490,760,1490,760,50,50,6,3
30,2,1,5,2,1,1,4,1,3.65,3.5,4,3.5,1,1,2645,2645,2050,2050,68,68,7,3
30,2,2,3,1,2,1,3,1,3.76,3.5,4,4,1,1,2250,395,1854,-1,62,62,7,3
27,2,2,5,2,2,2,2,5,4,4.25,3.6,4,0,0,2765,2250,2765,2250,92,92,8,4
27,2,2,2,2,1,1,2,1,3.18,3.25,3.2,3,1,1,2705,2065,2173,1533,72,72,7,3
28,2,1,5,1,2,2,1,3,3.76,4,3.6,3.5,0,0,4045,2765,4045,2765,135,135,12,4
27,2,2,5,1,1,2,3,1,3.53,3.63,3.4,3.5,1,1,2585,1520,1934,869,64,64,7,3
