나이,성별,결혼,종교_최종,학위_최종,부서,이직계획유무,건강상태_최종,근무지역_최종,공감_tot,공감_com,공감_sen,공감_ins,이직여부,이직+퇴직여부,임상경력(일),최종임상경력(일),최종임상경력(월),최종임상경력(년),병동경력(일),년차_최종,연차별시작문항응답,연차별최종문항응답
23,2,2,2,1,2,2,1,1,3.94,3.63,4.2,4.25,0,0,1185,1185,40,4,1125,2,123,123
38,2,1,2,2,1,2,1,2,3.35,3.5,3.6,2.75,1,1,4345,4207,140,12,485,3,13,13
27,2,2,2,2,1,2,1,1,3.76,3.38,4.2,4,1,1,2855,2564,85,8,575,3,123,123
31,2,1,2,1,2,2,2,2,3.65,3.75,3.4,3.75,0,0,4345,4345,145,13,1305,3,13,13
27,2,1,1,2,2,1,1,1,4.35,4.13,4.8,4.25,0,0,2220,2220,74,7,1030,3,13,13
27,2,2,1,1,1,1,1,2,3.71,3.5,4.2,3.5,0,0,1155,1155,39,4,425,2,123,123
28,2,2,2,1,1,1,1,2,3.94,3.75,4.2,4,0,0,3710,3710,124,11,3710,3,13,13
27,2,2,2,2,1,1,1,2,3.82,4.13,3.4,3.75,0,0,2220,2220,74,7,760,3,13,13
29,2,2,2,1,2,2,1,1,3.18,2.75,3.8,3.25,0,0,3315,3315,111,10,3190,3,13,13
31,2,1,2,2,1,2,1,2,4.06,3.75,4.6,4,0,0,3010,3010,100,9,2585,3,123,123
46,2,1,1,1,1,2,1,1,3.35,3.38,3.6,3,0,0,2370,2370,79,7,2220,3,13,13
34,2,1,1,2,2,1,1,1,4.41,4.13,4.6,4.75,0,0,4345,4345,145,13,4345,3,13,13
31,1,1,1,2,2,1,1,2,3.94,4,3.8,4,0,0,2950,2950,98,9,2950,3,13,13
32,2,1,2,2,1,2,2,2,3.88,3.38,4.8,3.75,0,0,3585,3585,120,10,2155,3,13,13
26,2,2,2,2,1,1,2,2,2.76,2.5,3.2,2.75,1,1,1365,713,24,2,455,1,123,123
28,2,2,1,2,1,2,2,1,3.65,3.5,4,3.5,1,1,2220,1717,57,6,425,2,123,123
28,2,1,1,2,1,1,2,1,3.29,3.13,3.6,3.25,0,0,2585,2585,86,8,1490,3,123,123
30,2,1,2,2,1,2,1,1,3.88,3.88,4.2,3.5,0,0,1640,1640,55,6,760,2,123,123
28,2,2,2,2,1,1,2,1,3.71,3.88,3.6,3.5,0,0,2220,2220,74,7,1365,3,13,13
26,2,2,1,1,1,2,2,1,3.76,4.25,3.8,2.75,1,1,2645,2369,79,7,515,3,13,13
24,2,2,2,2,1,2,1,1,3.47,3.38,3.8,3.25,0,0,1275,1275,43,4,1275,2,13,13
27,2,2,2,2,2,1,1,2,3.41,3.5,3.8,2.75,0,0,3220,3220,107,9,1305,3,13,13
28,2,2,2,2,2,2,1,1,3.06,2.63,3.2,3.75,1,1,2950,2479,83,7,1490,3,123,123
24,2,2,2,2,1,1,2,1,3.82,3.63,4.2,3.75,0,0,1610,1610,54,6,1610,2,123,123
36,2,1,2,2,1,1,1,1,3.35,3.25,3.8,3,1,1,3040,2355,79,7,820,3,13,13
44,2,1,2,1,1,1,2,1,3.82,3.5,4.2,4,1,1,4045,3450,115,10,4045,3,13,13
31,2,1,1,2,2,1,1,1,4.18,4.5,3.8,4,0,0,3315,3315,111,10,3315,3,13,13
27,2,2,1,2,2,1,1,1,3.41,3.13,3.8,3.5,0,0,1855,1855,62,7,695,2,123,123
